|  242486 |    886 |        50 |          5 |   7942 |
|  242529 |    886 |        50 |          1 |   2464 |
|  242621 |    887 |        50 |          1 |   6917 |
|  242663 |    887 |        50 |          5 |   5146 |
|  242752 |    887 |        50 |          2 |   4652 |
|  242808 |    887 |        50 |          4 |   2834 |
|  242827 |    887 |        50 |          3 |   1946 |
|  242905 |    888 |        50 |          4 |   4224 |
|  243024 |    888 |        50 |          2 |   7722 |
|  243032 |    888 |        50 |          5 |   2383 |
|  243082 |    888 |        50 |          3 |   7675 |
|  243153 |    889 |        50 |          3 |   2562 |
|  243191 |    889 |        50 |          5 |   7965 |
|  243209 |    889 |        50 |          4 |   6825 |
|  243318 |    889 |        50 |          2 |   5043 |
|  243395 |    890 |        50 |          3 |     12 |
|  243461 |    890 |        50 |          5 |    335 |
|  243484 |    890 |        50 |          2 |   3692 |
|  243497 |    890 |        50 |          4 |   6691 |
|  243653 |    890 |        50 |          1 |   2225 |
|  243707 |    891 |        50 |          2 |   2976 |
|  243824 |    891 |        50 |          1 |   5731 |
|  243855 |    891 |        50 |          5 |   4229 |
|  243882 |    891 |        50 |          3 |   2797 |
|  243956 |    892 |        50 |          5 |   2056 |
|  243998 |    892 |        50 |          3 |   3727 |
|  244039 |    892 |        50 |          4 |   7190 |
|  244111 |    892 |        50 |          2 |   2800 |
|  244137 |    892 |        50 |          1 |    202 |
|  244288 |    893 |        50 |          1 |   3821 |
|  244324 |    893 |        50 |          3 |   1177 |
|  244351 |    893 |        50 |          2 |   6650 |
|  244415 |    893 |        50 |          5 |   1018 |
|  244477 |    893 |        50 |          4 |   5911 |
|  244500 |    894 |        50 |          2 |   7932 |
|  244625 |    894 |        50 |          1 |   6442 |
|  244646 |    894 |        50 |          5 |     86 |
|  244660 |    894 |        50 |          4 |    456 |
|  244813 |    895 |        50 |          5 |   7945 |
|  244851 |    895 |        50 |          1 |   1118 |
|  244870 |    895 |        50 |          2 |    739 |
|  244896 |    895 |        50 |          3 |   4021 |
|  245002 |    895 |        50 |          4 |   4278 |
|  245071 |    896 |        50 |          4 |    107 |
|  245113 |    896 |        50 |          2 |   6787 |
